Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;No sampling;No selection;505.0;120.0;419.0;59.0;0.808;0.8953900709219859;0.8838981433966236;0.6744472493969169
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;Oversampling;No selection;526.0;120.0;419.0;38.0;0.8142414860681114;0.9326241134751773;0.9338363004776379;0.7123916150390631
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;Oversampling;No selection;536.0;375.0;164.0;28.0;0.5883644346871569;0.950354609929078;0.8261786339293938;0.2583073732265229
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;Oversampling;No selection;508.0;111.0;428.0;56.0;0.8206785137318255;0.900709219858156;0.8232723456887591;0.6963471185278355
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;Undersampling;No selection;551.0;67.0;472.0;13.0;0.8915857605177994;0.9769503546099291;0.9793434782036605;0.8545435363855453
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;Undersampling;No selection;532.0;362.0;177.0;32.0;0.5950782997762863;0.9432624113475178;0.8220831853050699;0.2753850822520352
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;Undersampling;No selection;545.0;79.0;460.0;19.0;0.8733974358974359;0.9663120567375887;0.9131337254437558;0.8217717628591968
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;SMOTE;No selection;554.0;69.0;470.0;10.0;0.8892455858747994;0.9822695035460993;0.9834241240016316;0.8563321390826638
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;SMOTE;No selection;530.0;380.0;159.0;34.0;0.5824175824175825;0.9397163120567376;0.8144219002881616;0.23809444357311849
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;SMOTE;No selection;545.0;69.0;470.0;19.0;0.8876221498371335;0.9663120567375887;0.9216634429400387;0.8400242607236683
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;No sampling;Best first;492.0;188.0;351.0;72.0;0.7235294117647059;0.8723404255319149;0.8496756536270214;0.526055541967172
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;No sampling;Best first;536.0;234.0;305.0;28.0;0.6961038961038961;0.950354609929078;0.8496756536270214;0.5206272953775616
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;No sampling;Best first;492.0;188.0;351.0;72.0;0.7235294117647059;0.8723404255319149;0.8496756536270214;0.526055541967172
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;Oversampling;Best first;506.0;141.0;398.0;58.0;0.7820710973724884;0.8971631205673759;0.8854804010579087;0.6377441134676861
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;Oversampling;Best first;517.0;281.0;258.0;47.0;0.6478696741854637;0.9166666666666666;0.755021447650627;0.399171623969097
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;Oversampling;Best first;494.0;130.0;409.0;70.0;0.7916666666666666;0.875886524822695;0.8577086540612376;0.6362689037942794
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;Undersampling;Best first;528.0;131.0;408.0;36.0;0.8012139605462822;0.9361702127659575;0.9231864892959117;0.6958457242778852
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;Undersampling;Best first;529.0;283.0;256.0;35.0;0.6514778325123153;0.9379432624113475;0.7665396913117278;0.417150776347974
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;Undersampling;Best first;512.0;119.0;420.0;52.0;0.8114104595879557;0.9078014184397163;0.9194413742286083;0.688920152329557
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;RandomForest;SMOTE;Best first;530.0;128.0;411.0;34.0;0.8054711246200608;0.9397163120567376;0.9248016421268701;0.7049643188550332
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;NaiveBayes;SMOTE;Best first;530.0;282.0;257.0;34.0;0.6527093596059114;0.9397163120567376;0.7797224305582968;0.4208164947357226
BOOKKEEPER;4;0.771532184950136;0.5276145710928319;0.35714285714285715;Ibk;SMOTE;Best first;507.0;105.0;434.0;57.0;0.8284313725490197;0.898936170212766;0.9286799826313504;0.7055234742712495
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;No sampling;No selection;545.0;96.0;514.0;68.0;0.8502340093603744;0.8890701468189234;0.9447329714117616;0.7317752909962343
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;No sampling;No selection;448.0;101.0;509.0;165.0;0.8160291438979964;0.7308319738988581;0.889288102051186;0.5651131204782557
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;No sampling;No selection;537.0;87.0;523.0;76.0;0.8605769230769231;0.8760195758564437;0.9463522584440938;0.7334289882553051
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;Oversampling;No selection;546.0;52.0;558.0;67.0;0.9130434782608695;0.8907014681892332;0.9658425373733052;0.8054071038434026
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;Oversampling;No selection;584.0;430.0;180.0;29.0;0.5759368836291914;0.9526916802610114;0.8297716150081567;0.24817285580929402
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;Oversampling;No selection;549.0;77.0;533.0;64.0;0.8769968051118211;0.8955954323001631;0.8859198245660953;0.7694060477039292
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;Undersampling;No selection;594.0;18.0;592.0;19.0;0.9705882352941176;0.9690048939641109;0.9922338405583933;0.9394929285176563
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;Undersampling;No selection;581.0;441.0;169.0;32.0;0.5684931506849316;0.9477977161500816;0.8204062257641804;0.22521640484682579
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;Undersampling;No selection;596.0;33.0;577.0;17.0;0.9475357710651828;0.9722675367047309;0.9597745567352178;0.918228110808599
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;SMOTE;No selection;597.0;15.0;595.0;16.0;0.9754901960784313;0.9738988580750407;0.9926804482122322;0.9493048860553337
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;SMOTE;No selection;583.0;336.0;274.0;30.0;0.6343852013057671;0.9510603588907015;0.8340638622202017;0.4007325870014005
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;SMOTE;No selection;600.0;32.0;578.0;13.0;0.9493670886075949;0.9787928221859706;0.9637940256197685;0.9264044139967345
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;No sampling;Best first;485.0;99.0;511.0;128.0;0.8304794520547946;0.7911908646003263;0.8938571390367182;0.628822630480502
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;No sampling;Best first;485.0;99.0;511.0;128.0;0.8304794520547946;0.7911908646003263;0.8930882785548098;0.628822630480502
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;No sampling;Best first;485.0;99.0;511.0;128.0;0.8304794520547946;0.7911908646003263;0.893898590645308;0.628822630480502
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;Oversampling;Best first;535.0;66.0;544.0;78.0;0.8901830282861897;0.8727569331158238;0.954618511486107;0.7645234096719329
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;Oversampling;Best first;585.0;320.0;290.0;28.0;0.6464088397790055;0.9543230016313213;0.7940964886476078;0.4302367922204492
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;Oversampling;Best first;541.0;64.0;546.0;72.0;0.8942148760330578;0.8825448613376835;0.8957251357205894;0.7776018740874254
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;Undersampling;Best first;597.0;35.0;575.0;16.0;0.944620253164557;0.9738988580750407;0.9878680501698179;0.9165916691962991
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;Undersampling;Best first;588.0;333.0;277.0;25.0;0.6384364820846905;0.9592169657422512;0.7973150054823095;0.413826619683614
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;Undersampling;Best first;585.0;36.0;574.0;28.0;0.9420289855072463;0.9543230016313213;0.9599711175888536;0.8953353409036207
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;RandomForest;SMOTE;Best first;589.0;25.0;585.0;24.0;0.9592833876221498;0.9608482871125612;0.9894124568769556;0.9198683705574728
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;NaiveBayes;SMOTE;Best first;600.0;357.0;253.0;13.0;0.6269592476489029;0.9787928221859706;0.803341534511807;0.39409074110772496
BOOKKEEPER;5;0.901880621422731;0.4886672710788758;0.5916666666666667;Ibk;SMOTE;Best first;584.0;30.0;580.0;29.0;0.9511400651465798;0.9526916802610114;0.9629636562993074;0.9035149767936919
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;RandomForest;No sampling;No selection;578.0;90.0;619.0;86.0;0.8652694610778443;0.8704819277108434;0.9498222084388329;0.7434004578797365
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;NaiveBayes;No sampling;No selection;509.0;118.0;591.0;155.0;0.8118022328548644;0.766566265060241;0.9013490492293574;0.6011978035657478
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;Ibk;No sampling;No selection;573.0;89.0;620.0;91.0;0.8655589123867069;0.8629518072289156;0.9520122096283583;0.7374933879434327
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;RandomForest;Oversampling;No selection;611.0;45.0;664.0;53.0;0.9314024390243902;0.9201807228915663;0.9777813652352711;0.8570387338608912
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;NaiveBayes;Oversampling;No selection;629.0;490.0;219.0;35.0;0.5621090259159964;0.947289156626506;0.83327739731847;0.2507226928142349
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;Ibk;Oversampling;No selection;596.0;58.0;651.0;68.0;0.9113149847094801;0.8975903614457831;0.9116554369806448;0.8161750798531934
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;RandomForest;Undersampling;No selection;656.0;11.0;698.0;8.0;0.9835082458770614;0.9879518072289156;0.9978684130032117;0.9722975893263898
BOOKKEEPER;6;0.8907501820830298;0.4987735077677841;0.66;NaiveBayes;Undersampling;No selection;630.0;496.0;213.0;34.0;0.5595026642984015;0.9487951807228916;0.8337988767481774;0.243834312541695
